# scope 实时采样  2026-09-17 01:19:34
# 电机=[1, 2]  目标=20Hz
# 角度 度 / 电压 mV / 电流 mA / speed_rpm 带符号
t_s,addr,bus_mv,phase_ma,encoder,target_deg,speed_rpm,pos_deg,err_deg,homing_flags,motor_status
5.421567,2,11046,43,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.472465,1,10990,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.474585,2,11088,41,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.532954,1,10958,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.56586,2,11078,42,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.611598,1,10939,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.613916,2,11088,44,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.669839,1,11038,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.704424,2,11058,44,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.749547,1,10956,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.750862,2,11077,45,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.806881,1,11009,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.833095,2,11079,46,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.867427,1,10964,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.901426,2,11078,46,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
5.938868,1,10999,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
5.941797,2,11079,46,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
6.02905,1,10992,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
6.031976,2,11088,46,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
6.092957,1,10948,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
6.126961,2,11085,47,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
6.171409,1,10994,16,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
6.174183,2,11073,47,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
6.230447,1,10950,15,27158,160.6256103515625,0,160.6365966796875,-0.0054931640625,3,3
6.234441,2,11114,47,3258,177.5665283203125,0,177.5775146484375,-0.0054931640625,3,3
